key,id,name,kana,type,sort_level,grade,group_join,permit,del
nckimport,2000616,管理グループ,管理ぐるーぷ,1,500,0,2,0,0
nckimport,2000615,グループ会社,ぐるーぷ会社,1,20,0,2,0,0
nckimport,2000614,農林中央金庫,農林中央金庫,1,10,0,2,0,0
nckimport,2001209,Sm@rtDB管理者グループ,Sm@rtDB管理者ぐるーぷ,2,10,0,1,1,0
nckimport,2000629,農林中金バリューインベストメンツ,農林中金ばりゅーいんべすとめんつ,1,30,0,2,0,0
nckimport,2000628,農中信託銀行,農中信託銀行,1,20,0,2,0,0
nckimport,2000627,農中情報システム,農中情報しすてむ,1,10,0,2,0,0
nckimport,2000625,退職者,退職者,1,90,0,2,0,0
nckimport,2000624,休職者,休職者,1,80,0,2,0,0
nckimport,2000623,廃止組織,廃止組織,1,70,0,2,0,0
nckimport,2000622,プロジェクト,ぷろじぇくと,1,60,0,2,0,0
nckimport,2000621,委託先グループ会社,委託先ぐるーぷ会社,1,50,0,2,0,0
nckimport,2000620,海外支店,海外支店,1,40,0,2,0,0
nckimport,2000619,国内支店,国内支店,1,30,0,2,0,0
nckimport,2000618,本店,本店,1,20,0,2,0,0
nckimport,2000617,役員,役員,1,10,0,2,0,0
nckimport,574,NCA,NCA,1,483,,2,0,0
nckimport,561,NCF,NCF,1,473,,2,0,0
nckimport,545,NBS,NBS,1,461,,2,0,0
nckimport,543,北京駐在員事務所,北京駐在員事務所,1,460,,2,0,0
nckimport,541,香港駐在員事務所,香港駐在員事務所,1,459,,2,0,0
nckimport,534,シンガポール支店,しんがぽーる支店,1,453,,2,0,0
nckimport,528,ロンドン支店,ろんどん支店,1,448,,2,0,0
nckimport,519,ニューヨーク支店,にゅーよーく支店,1,440,,2,0,0
nckimport,514,那覇支店,那覇支店,1,436,,2,0,0
nckimport,510,大分支店,大分支店,1,433,,2,0,0
nckimport,495,熊本支店,熊本支店,1,420,,2,0,0
nckimport,484,長崎支店,長崎支店,1,411,,2,0,0
nckimport,471,福岡支店,福岡支店,1,399,,2,0,0
nckimport,460,高松支店,高松支店,1,389,,2,0,0
nckimport,438,岡山支店,岡山支店,1,369,,2,0,0
nckimport,416,大阪支店,大阪支店,1,354,,2,0,0
nckimport,407,名古屋支店,名古屋支店,1,346,,2,0,0
nckimport,390,富山支店,富山支店,1,331,,2,0,0
nckimport,381,千葉支店,千葉支店,1,324,,2,0,0
nckimport,370,前橋支店,前橋支店,1,315,,2,0,0
nckimport,358,宇都宮支店,宇都宮支店,1,305,,2,0,0
nckimport,344,福島支店,福島支店,1,293,,2,0,0
nckimport,331,秋田支店,秋田支店,1,282,,2,0,0
nckimport,319,山形支店,山形支店,1,272,,2,0,0
nckimport,301,仙台支店,仙台支店,1,256,,2,0,0
nckimport,288,青森支店,青森支店,1,245,,2,0,0
nckimport,278,札幌支店,札幌支店,1,236,,2,0,0
nckimport,269,関東業務部,関東業務部,1,228,,2,0,0
nckimport,265,外為業務管理部,外為業務管理部,1,225,,2,0,0
nckimport,259,本店業務部,本店業務部,1,220,,2,0,0
nckimport,253,農林水産環境事業部,農林水産環境事業部,1,216,,2,0,0
nckimport,246,営業第五部,営業第五部,1,210,,2,0,0
nckimport,240,営業第四部,営業第四部,1,205,,2,0,0
nckimport,234,営業第三部,営業第三部,1,200,,2,0,0
nckimport,230,営業第二部,営業第二部,1,197,,2,0,0
nckimport,225,営業第一部,営業第一部,1,193,,2,0,0
nckimport,217,投融資企画部,投融資企画部,1,186,,2,0,0
nckimport,208,資金証券管理部,資金証券管理部,1,178,,2,0,0
nckimport,200,市場業務管理部,市場業務管理部,1,171,,2,0,0
nckimport,193,リスク評価部,りすく評価部,1,165,,2,0,0
nckimport,191,投資契約部,投資契約部,1,164,,2,0,0
nckimport,186,資金為替部,資金為替部,1,160,,2,0,0
nckimport,184,プロジェクトファイナンス部,ぷろじぇくとふぁいなんす部,1,159,,2,0,0
nckimport,182,オルタナティブ投資部,おるたなてぃぶ投資部,1,158,,2,0,0
nckimport,180,クレジット投資部,くれじっと投資部,1,157,,2,0,0
nckimport,177,株式投資部,株式投資部,1,155,,2,0,0
nckimport,172,債券投資部,債券投資部,1,151,,2,0,0
nckimport,167,ＪＦマリンバンク部,ＪＦまりんばんく部,1,147,,2,0,0
nckimport,162,農林水産環境統括部,農林水産環境統括部,1,143,,2,0,0
nckimport,151,ＪＡバンク企画推進部,ＪＡばんく企画推進部,1,133,,2,0,0
nckimport,144,ＪＡバンク経営指導部,ＪＡばんく経営指導部,1,127,,2,0,0
nckimport,133,ＪＡバンク統括部,ＪＡばんく統括部,1,117,,2,0,0
nckimport,129,事業再生部,事業再生部,1,114,,2,0,0
nckimport,121,審査部,審査部,1,107,,2,0,0
nckimport,108,業務企画部,業務企画部,1,95,,2,0,0
nckimport,89,事務企画部,事務企画部,1,77,,2,0,0
nckimport,71,システム企画部,しすてむ企画部,1,60,,2,0,0
nckimport,65,統合リスク管理部,統合りすく管理部,1,55,,2,0,0
nckimport,58,企画管理部,企画管理部,1,50,,2,0,0
nckimport,47,総合企画部,総合企画部,1,40,,2,0,0
nckimport,36,人事部,人事部,1,30,,2,0,0
nckimport,24,業務監査部,業務監査部,1,19,,2,0,0
nckimport,21,法務部,法務部,1,17,,2,0,0
nckimport,15,コンプライアンス統括部,こんぷらいあんす統括部,1,12,,2,0,0
nckimport,6,総務部,総務部,1,4,,2,0,0
nckimport,4,監事室,監事室,1,3,,2,0,0
nckimport,1,秘書室,秘書室,1,1,,2,0,0
nckimport,579,NCA_業務開発部,NCA_業務開発部,1,487,0,2,0,0
nckimport,578,NCA_県域支援部,NCA_県域支援部,1,486,0,2,0,0
nckimport,577,NCA_研修企画部,NCA_研修企画部,1,485,0,2,0,0
nckimport,576,NCA_システム部,NCA_しすてむ部,1,484,0,2,0,0
nckimport,575,NCA_総務管理部,NCA_総務管理部,1,483,0,2,0,0
nckimport,573,NCF_昭島事業部,NCF_昭島事業部,1,482,0,2,0,0
nckimport,572,NCF_DN事業部,NCF_DN事業部,1,481,0,2,0,0
nckimport,571,NCF_施設管理事業部,NCF_施設管理事業部,1,480,0,2,0,0
nckimport,570,NCF_FM事務部,NCF_FM事務部,1,479,0,2,0,0
nckimport,566,NCF_FM業務部,NCF_FM業務部,1,476,0,2,0,0
nckimport,562,NCF_FM統括部,NCF_FM統括部,1,473,0,2,0,0
nckimport,557,NBS_業務受託部,NBS_業務受託部,1,470,0,2,0,0
nckimport,552,NBS_金融事務サポート第二部,NBS_金融事務さぽーと第二部,1,466,0,2,0,0
nckimport,546,NBS_金融事務サポート第一部,NBS_金融事務さぽーと第一部,1,461,0,2,0,0
nckimport,544,北京支店_北京駐在員事務所,北京支店_北京駐在員事務所,1,460,,2,0,0
nckimport,542,香港支店_香港駐在員事務所,香港支店_香港駐在員事務所,1,459,,2,0,0
nckimport,540,SGP支店_資金班,SGP支店_資金班,1,458,,2,0,0
nckimport,539,SGP支店_クレジットインベストメント2班,SGP支店_くれじっといんべすとめんと2班,1,457,,2,0,0
nckimport,538,SGP支店_クレジットインベストメント1班,SGP支店_くれじっといんべすとめんと1班,1,456,,2,0,0
nckimport,537,SGP支店_管理班,SGP支店_管理班,1,455,,2,0,0
nckimport,536,SGP支店_事務班,SGP支店_事務班,1,454,,2,0,0
nckimport,535,SGP支店_総務班,SGP支店_総務班,1,453,,2,0,0
nckimport,533,LDN支店_事務班,LDN支店_事務班,1,452,,2,0,0
nckimport,532,LDN支店_管理班,LDN支店_管理班,1,451,,2,0,0
nckimport,531,LDN支店_市場班,LDN支店_市場班,1,450,,2,0,0
nckimport,530,LDN支店_欧州投融資班,LDN支店_欧州投融資班,1,449,,2,0,0
nckimport,529,LDN支店_総務班,LDN支店_総務班,1,448,,2,0,0
nckimport,527,NY支店_米国リスク管理室,NY支店_米国りすく管理室,1,447,,2,0,0
nckimport,526,NY支店_マーケットリサーチ班,NY支店_まーけっとりさーち班,1,446,,2,0,0
nckimport,525,NY支店_市場班,NY支店_市場班,1,445,,2,0,0
nckimport,524,NY支店_コーポレートファイナンス班,NY支店_こーぽれーとふぁいなんす班,1,444,0,2,0,0
nckimport,523,NY支店_IT_IS班,NY支店_IT_IS班,1,443,,2,0,0
nckimport,522,NY支店_事務班,NY支店_事務班,1,442,,2,0,0
nckimport,521,NY支店_管理班,NY支店_管理班,1,441,,2,0,0
nckimport,520,NY支店_総務班,NY支店_総務班,1,440,,2,0,0
nckimport,518,那覇支店_農林水産環境事業班,那覇支店_農林水産環境事業班,1,439,,2,0,0
nckimport,517,那覇支店_業務班,那覇支店_業務班,1,438,,2,0,0
nckimport,516,那覇支店_窓口業務班,那覇支店_窓口業務班,1,437,,2,0,0
nckimport,515,那覇支店_総務班,那覇支店_総務班,1,436,,2,0,0
nckimport,513,大分支店_業務班,大分支店_業務班,1,435,,2,0,0
nckimport,512,大分支店_窓口業務班,大分支店_窓口業務班,1,434,,2,0,0
nckimport,511,大分支店_総務班,大分支店_総務班,1,433,,2,0,0
nckimport,509,熊本支店_業務第四班,熊本支店_業務第四班,1,432,,2,0,0
nckimport,508,熊本支店_業務第三班,熊本支店_業務第三班,1,431,,2,0,0
