key,id,p_key,p_id
nckimport,2000616,sys,2000000
nckimport,2000615,sys,2000000
nckimport,2000614,sys,2000000
nckimport,2001209,nckimport,2000616
nckimport,2000629,nckimport,2000615
nckimport,2000628,nckimport,2000615
nckimport,2000627,nckimport,2000615
nckimport,2000625,nckimport,2000614
nckimport,2000624,nckimport,2000614
nckimport,2000623,nckimport,2000614
nckimport,2000622,nckimport,2000614
nckimport,2000621,nckimport,2000614
nckimport,2000620,nckimport,2000614
nckimport,2000619,nckimport,2000614
nckimport,2000618,nckimport,2000614
nckimport,2000617,nckimport,2000614
nckimport,574,nckimport,2000621
nckimport,561,nckimport,2000621
nckimport,545,nckimport,2000621
nckimport,543,nckimport,2000620
nckimport,541,nckimport,2000620
nckimport,534,nckimport,2000620
nckimport,528,nckimport,2000620
nckimport,519,nckimport,2000620
nckimport,514,nckimport,2000619
nckimport,510,nckimport,2000619
nckimport,495,nckimport,2000619
nckimport,484,nckimport,2000619
nckimport,471,nckimport,2000619
nckimport,460,nckimport,2000619
nckimport,438,nckimport,2000619
nckimport,416,nckimport,2000619
nckimport,407,nckimport,2000619
nckimport,390,nckimport,2000619
nckimport,381,nckimport,2000619
nckimport,370,nckimport,2000619
nckimport,358,nckimport,2000619
nckimport,344,nckimport,2000619
nckimport,331,nckimport,2000619
nckimport,319,nckimport,2000619
nckimport,301,nckimport,2000619
nckimport,288,nckimport,2000619
nckimport,278,nckimport,2000619
nckimport,269,nckimport,2000618
nckimport,265,nckimport,2000618
nckimport,259,nckimport,2000618
nckimport,253,nckimport,2000618
nckimport,246,nckimport,2000618
nckimport,240,nckimport,2000618
nckimport,234,nckimport,2000618
nckimport,230,nckimport,2000618
nckimport,225,nckimport,2000618
nckimport,217,nckimport,2000618
nckimport,208,nckimport,2000618
nckimport,200,nckimport,2000618
nckimport,193,nckimport,2000618
nckimport,191,nckimport,2000618
nckimport,186,nckimport,2000618
nckimport,184,nckimport,2000618
nckimport,182,nckimport,2000618
nckimport,180,nckimport,2000618
nckimport,177,nckimport,2000618
nckimport,172,nckimport,2000618
nckimport,167,nckimport,2000618
nckimport,162,nckimport,2000618
nckimport,151,nckimport,2000618
